rating,movie,year,country,rating_ball,overview,director,screenwriter,actors,url_logo
0,Побег из Шоушенка ,1994,США,"9,111",Бухгалтер Энди Дюфрейн обвинён в убийстве собственной жены и её любовника. Оказавшись в тюрьме под названием Шоушенк; он сталкивается с жестокостью и беззаконием; царящими по обе стороны решётки. Каждый; кто попадает в эти стены; становится их рабом до конца жизни. Но Энди; обладающий живым умом и доброй душой; находит подход как к заключённым; так и к охранникам; добиваясь их особого к себе расположения., Фрэнк Дарабонт, Фрэнк Дарабонт;  Стивен Кинг,Тим Роббинс; Морган Фриман; Боб Гантон; Уильям Сэдлер; Клэнси Браун,'https://st.kp.yandex.net/images/film_iphone/iphone360_326.jpg'
1,Зеленая миля ,1999,США,"9,062",Пол Эджкомб — начальник блока смертников в тюрьме «Холодная гора»; каждый из узников которого однажды проходит «зеленую милю» по пути к месту казни. Пол повидал много заключённых и надзирателей за время работы. Однако гигант Джон Коффи; обвинённый в страшном преступлении; стал одним из самых необычных обитателей блока., Фрэнк Дарабонт, Фрэнк Дарабонт;  Стивен Кинг,Том Хэнкс; Дэвид Морс; Бонни Хант; Майкл Кларк Дункан; Джеймс Кромуэлл,'https://st.kp.yandex.net/images/film_iphone/iphone360_435.jpg'
2,Форрест Гамп ,1994,США,"8,913",От лица главного героя Форреста Гампа; слабоумного безобидного человека с благородным и открытым сердцем; рассказывается история его необыкновенной жизни.Фантастическим образом превращается он в известного футболиста; героя войны; преуспевающего бизнесмена. Он становится миллиардером; но остается таким же бесхитростным; глупым и добрым. Форреста ждет постоянный успех во всем; а он любит девочку; с которой дружил в детстве; но взаимность приходит слишком поздно., Роберт Земекис, Эрик Рот;  Уинстон Грум,Том Хэнкс; Робин Райт; Салли Филд; Гэри Синиз; Майкелти Уильямсон,'https://st.kp.yandex.net/images/film_iphone/iphone360_448.jpg'
3,Список Шиндлера ,1993,США,"8,817",Фильм рассказывает реальную историю загадочного Оскара Шиндлера; члена нацистской партии; преуспевающего фабриканта; спасшего во время Второй мировой войны почти 1200 евреев., Стивен Спилберг, Стивен Зеллиан;  Томас Кенилли,Лиам Нисон; Бен Кингсли; Рэйф Файнс; Кэролайн Гудолл; Эмбет Дэвидц,'https://st.kp.yandex.net/images/film_iphone/iphone360_329.jpg'
7,Король Лев ,1994,США,"8,772",У величественного Короля-Льва Муфасы рождается наследник по имени Симба. Уже в детстве любознательный малыш становится жертвой интриг своего завистливого дяди Шрама; мечтающего о власти.Симба познаёт горе утраты; предательство и изгнание; но в конце концов обретает верных друзей и находит любимую. Закалённый испытаниями; он в нелёгкой борьбе отвоёвывает своё законное место в «Круге жизни»; осознав; что значит быть настоящим Королём., Роджер Аллерс;  Роб Минкофф, Ирен Меччи;  Джонатан Робертс;  Линда Вулвертон; ...,Мэттью Бродерик; Джереми Айронс; Нэйтан Лейн; Эрни Сабелла; Джеймс Эрл Джонс,'https://st.kp.yandex.net/images/film_iphone/iphone360_2360.jpg'
6,Леон ,1994,Франция,"8,681",Профессиональный убийца Леон; не знающий пощады и жалости; знакомится со своей очаровательной соседкой Матильдой; семью которой расстреливают полицейские; замешанные в торговле наркотиками. Благодаря этому знакомству он впервые испытывает чувство любви; но…, Люк Бессон, Люк Бессон,Жан Рено; Гари Олдман; Натали Портман; Дэнни Айелло; Питер Эппел,'https://st.kp.yandex.net/images/film_iphone/iphone360_389.jpg'
8,Бойцовский клуб ,1999,США,"8,645",Сотрудник страховой компании страдает хронической бессонницей и отчаянно пытается вырваться из мучительно скучной жизни. Однажды в очередной командировке он встречает некоего Тайлера Дёрдена — харизматического торговца мылом с извращенной философией. Тайлер уверен; что самосовершенствование — удел слабых; а единственное; ради чего стоит жить — саморазрушение.Проходит немного времени; и вот уже новые друзья лупят друг друга почем зря на стоянке перед баром; и очищающий мордобой доставляет им высшее блаженство. Приобщая других мужчин к простым радостям физической жестокости; они основывают тайный Бойцовский клуб; который начинает пользоваться невероятной популярностью., Дэвид Финчер, Джим Улс;  Чак Паланик,Эдвард Нортон; Брэд Питт; Хелена Бонем Картер; Мит Лоаф; Зэк Гренье,'https://st.kp.yandex.net/images/film_iphone/iphone360_361.jpg'
11,Достучаться до небес ,1997,Германия,"8,629",Судьба сводит героев картины в больнице; где врачи выносят им смертный приговор. Счет времени их жизней идет на часы. Дальнейшие события в фильме разворачиваются в стремительном темпе. Украв машину с миллионом немецких марок в багажнике; они сбегают из больницы.Их преследуют наемные убийцы; они становятся грабителями поневоле; за ними гонится полиция; они попадают в бордель. Но тем не менее продолжают мчаться вперед; навстречу своей судьбе., Томас Ян, Томас Ян;  Тиль Швайгер,Тиль Швайгер; Ян Йозеф Лиферс; Тьерри Ван Вервеке; Мориц Бляйбтрой; Хуб Стапель,'https://st.kp.yandex.net/images/film_iphone/iphone360_32898.jpg'
10,Жизнь прекрасна ,1997,Италия,"8,624",Во время II Мировой войны в Италии в концлагерь были отправлены евреи; отец и его маленький сын. Жена; итальянка; добровольно последовала вслед за ними. В лагере отец сказал сыну; что все происходящее вокруг является очень большой игрой за приз в настоящий танк; который достанется тому мальчику; который сможет не попасться на глаза надзирателям., Роберто Бениньи, Винченцо Черами;  Роберто Бениньи,Роберто Бениньи; Николетта Браски; Джорджио Кантарини; Джустино Дурано; Серджио Бини Бустрик,'https://st.kp.yandex.net/images/film_iphone/iphone360_381.jpg'
13,Криминальное чтиво ,1994,США,"8,619",Двое бандитов Винсент Вега и Джулс Винфилд ведут философские беседы в перерывах между разборками и решением проблем с должниками криминального босса Марселласа Уоллеса.В первой истории Винсент проводит незабываемый вечер с женой Марселласа Мией. Во второй рассказывается о боксёре Бутче Кулидже; купленном Уоллесом; чтобы сдать бой. В третьей истории Винсент и Джулс по нелепой случайности попадают в неприятности., Квентин Тарантино, Квентин Тарантино;  Роджер Эвери,Джон Траволта; Сэмюэл Л. Джексон; Брюс Уиллис; Ума Турман; Винг Реймз,'https://st.kp.yandex.net/images/film_iphone/iphone360_342.jpg'
